I Agree to participate in the research project under the conditions described above,"The name of your institution
","The name of your program of study
",Your current class level is,Your gender,Your current age,Living with family?,Are you happy with your academic  Condition?,Your CGPA ,Are you addicted to any drugs?,Are you in a relationship?,  Did you have a recent breakup?  ,  How often do you conflict with your friend?  ,  Do you have financial problem in your family? ,  Violence in family?  ,  Have you ever been bullied  ,   Have you ever been sexually harassed or abused?  ,How many hours do you spend on social media?  ,"1. I found it hard to wind down
??? ??????? ?? ???????????? ????? ?? ????????? ???????? ???? ??? ???? ???? ???? ???","2. I tended to over-react to situations 
???? ????? ??????? ??????????? ???????? ???????????? ???? ??????? ???","3 .I felt that I was using a lot of nervous energy 
???? ??? ??? ?? ??? ??? ???? ??????? ???? ?????","4.  I found myself getting agitated 
??? ????? ????? ?? ??? ??? ?????? ???? ??????? ","5.  I found it difficult to relax 
???? ??? ??? ???? ???? ???? ??","6.  I was intolerant of anything that kept me from getting on with what I was doing 
???? ???? ???? ??? ??? ?? ??? ?????? ???? ???? ????? ????","7.  I felt that I was rather touchy 
??? ????? ????? ??? ??????? ??? ?????? ???","1. _____ Extraverted, enthusiastic.","2. _____ Critical, quarrelsome.","3. _____ Dependable, self-disciplined.","4. _____ Anxious, easily upset.","5. _____ Open to new experiences, complex.","6. _____ Reserved, quiet.","7. _____ Sympathetic, warm.","8. _____ Disorganized, careless.","9. _____ Calm, emotionally stable","10. _____ Conventional, uncreative."
"Yes, I agree to participate,",International Islamic University Chittagong ,Masters in English Language Teaching,Graduate student,Male,> 25,Yes,No,< 3.00,No,No,Yes,Never occurs,Yes,Never,Yes,No,> 3 Hours,1,0,2,0,0,0,0,6,5,6,6,6,4,7,5,3,3
"Yes, I agree to participate,",CVASU ,Food Science and Technology ,Senior (Undergrad),Male,21-25,No,No,< 3.00,No,No,No,Sometimes,No,Rarely,Yes,No,> 3 Hours,1,0,1,1,1,2,1,5,1,4,6,5,2,7,5,2,1
"Yes, I agree to participate,",International Islamic University Chittagong ,English Language and Literature ,Graduate student,Male,21-25,Yes,Yes,3.01-3.50,No,No,No,Sometimes,Yes,Rarely,No,No,> 3 Hours,2,0,1,2,1,2,1,5,2,5,5,2,5,3,5,6,2
"Yes, I agree to participate,",East Delta University ,BSc. in Computer Science  & Engineering ,Senior (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,No,Never,Yes,No,> 3 Hours,1,3,3,3,3,3,0,3,5,6,1,6,6,4,5,7,2
"Yes, I agree to participate,",Government Commerce College ,BBS,Freshman (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,Yes,Sometimes,Yes,Never,No,No,> 3 Hours,1,3,1,1,3,3,1,3,5,4,5,6,5,5,5,4,4
"Yes, I agree to participate,",East Delta University ,CSE,Freshman (Undergrad),Male,21-25,Yes,Yes,< 3.00,No,No,Yes,Sometimes,Yes,Never,No,Maybe,> 3 Hours,0,2,0,1,1,1,2,1,4,5,7,6,5,4,5,1,3
"Yes, I agree to participate,",East Delta University ,EEE,Graduate student,Male,21-25,Yes,Yes,< 3.00,No,No,No,Sometimes,Yes,Never,No,No,> 3 Hours,0,2,1,1,1,1,1,1,7,4,0,1,6,4,5,3,1
"Yes, I agree to participate,",International Islamic University Chittagong ,B.A in ELL,Graduate student,Male,21-25,Yes,No,3.01-3.50,No,No,No,Never occurs,No,Often,Yes,Yes,> 3 Hours,2,1,3,2,2,1,1,2,7,7,1,7,5,4,5,6,2
"Yes, I agree to participate,",East Delta University ,English ,Senior (Undergrad),Female,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,No,Never,No,No,> 3 Hours,0,1,1,1,1,1,1,2,2,5,4,6,5,7,5,3,6
"Yes, I agree to participate,",East Delta University ,EEE,Senior (Undergrad),Male,21-25,No,No,< 3.00,No,Yes,No,Never occurs,No,Never,No,No,1-3 Hours,0,0,1,2,1,1,2,7,1,3,6,6,7,2,5,1,1
"Yes, I agree to participate,",East Delta University ,CSE,Senior (Undergrad),Female,> 25,Yes,No,3.01-3.50,No,No,No,Sometimes,No,Rarely,Yes,Maybe,> 3 Hours,3,1,0,3,3,3,1,1,6,5,7,6,1,5,5,2,7
"Yes, I agree to participate,",University of Chittagong ,Law,Graduate student,Male,21-25,No,No,3.01-3.50,No,Yes,No,Sometimes,Yes,Rarely,Yes,No,1-3 Hours,2,1,1,2,0,0,1,3,3,5,5,2,6,5,5,1,1
"Yes, I agree to participate,",East Delta University ,CSE,Senior (Undergrad),Female,> 25,Yes,No,3.01-3.50,No,Yes,No,Never occurs,No,Never,Yes,Yes,> 3 Hours,1,1,2,2,1,1,3,1,5,5,6,5,5,5,5,3,5
"Yes, I agree to participate,",BGC Trust University Bangladesh,Computer Science and Engineering ,Sophomore (Undergrad),Male,> 25,Yes,No,> 3.50,No,No,No,Sometimes,Yes,Most of the time,No,Yes,1-3 Hours,1,1,2,1,2,1,1,2,4,3,5,3,6,1,5,3,4
"Yes, I agree to participate,",Chittagong Independent University   ,ELT,Graduate student,Male,21-25,No,No,> 3.50,No,No,No,Sometimes,No,Never,No,No,> 3 Hours,1,1,1,3,1,3,1,2,6,5,7,5,6,6,5,1,2
"Yes, I agree to participate,",East Delta University ,Bsc in CSE,Senior (Undergrad),Female,21-25,Yes,Yes,> 3.50,No,Yes,No,Sometimes,No,Never,Yes,No,1-3 Hours,3,1,3,3,3,3,2,1,1,7,7,7,7,5,5,1,1
"Yes, I agree to participate,",University of Chittagong ,Education and Research ,Freshman (Undergrad),Male,21-25,No,No,> 3.50,No,No,No,Never occurs,No,Rarely,Yes,No,> 3 Hours,1,0,1,2,2,3,1,4,3,1,7,7,2,1,5,3,1
"Yes, I agree to participate,",East Delta University ,CSE,Senior (Undergrad),Male,21-25,No,Yes,3.01-3.50,No,No,No,Sometimes,No,Rarely,No,No,> 3 Hours,0,1,0,1,1,3,1,7,1,6,6,7,1,5,5,4,7
"Yes, I agree to participate,",Islamic University Kushtia ,LLB,Senior (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,Yes,No,Sometimes,No,Rarely,Yes,Yes,> 3 Hours,1,1,0,1,3,3,0,0,0,1,1,0,2,2,5,2,0
"Yes, I agree to participate,",East Delta University ,CSE,Sophomore (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,No,No,No,Most of the time,No,Never,Yes,No,> 3 Hours,1,3,3,3,3,1,3,5,0,6,0,7,7,7,5,7,3
"Yes, I agree to participate,",CUET,Electrical and Electronic Engineering ,Senior (Undergrad),Male,21-25,Yes,Yes,> 3.50,No,No,No,Never occurs,No,Rarely,No,No,1-3 Hours,2,1,0,2,2,2,2,4,1,5,7,7,7,3,5,3,3
"Yes, I agree to participate,",Islamic university ,English ,Sophomore (Undergrad),Female,21-25,No,No,> 3.50,No,Yes,No,Never occurs,Yes,Rarely,No,Yes,1-3 Hours,1,1,1,2,2,3,1,3,1,4,1,6,6,4,5,6,2
"Yes, I agree to participate,",Chittagong University of Engineering and Technology ,Petroleum and Mining Engineering ,Sophomore (Undergrad),Male,> 25,No,No,3.01-3.50,Yes,Yes,No,Sometimes,No,Rarely,No,No,1-3 Hours,2,1,2,1,1,1,0,2,2,5,5,5,5,2,5,5,5
"Yes, I agree to participate,",University of Dhaka,BSC- Physics ,Senior (Undergrad),Male,21-25,Yes,No,> 3.50,No,No,No,Never occurs,Yes,Rarely,No,Maybe,> 3 Hours,2,2,2,2,1,1,0,2,1,6,6,5,7,7,5,5,2
"Yes, I agree to participate,",East Delta university ,MBA,Graduate student,Male,> 25,Yes,No,> 3.50,No,No,Yes,Sometimes,Yes,Never,No,No,> 3 Hours,2,3,3,3,3,3,3,1,3,4,5,6,7,5,5,3,5
"Yes, I agree to participate,",Mymensingh Medical College ,MBBS,Junior (Undergrad),Female,21-25,Yes,Yes,> 3.50,No,No,No,Sometimes,No,Never,Yes,No,> 3 Hours,3,3,3,3,3,3,3,6,5,3,7,7,3,6,5,3,5
"Yes, I agree to participate,",AIUB ,Bsc in CSE (Graduate) ,Graduate student,Male,21-25,Yes,Yes,< 3.00,No,Yes,Yes,Sometimes,No,Never,Yes,No,> 3 Hours,2,1,2,3,3,2,2,5,5,3,4,6,4,6,5,6,2
"Yes, I agree to participate,",Eden Mohila College  ,B A honours ,Sophomore (Undergrad),Female,21-25,Yes,No,3.01-3.50,No,No,No,Never occurs,No,Rarely,Yes,Yes,> 3 Hours,1,1,2,3,1,3,0,2,5,3,4,2,4,2,5,3,3
"Yes, I agree to participate,",Butex,B.Sc in Textile Engineering,Senior (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,Yes,Rarely,Yes,No,> 3 Hours,0,0,1,2,1,1,1,5,4,3,2,7,2,5,5,2,1
"Yes, I agree to participate,",Bangladesh Agricultural University ,B.Sc. Fisheries( Hons.) ,Sophomore (Undergrad),Female,21-25,Yes,No,> 3.50,No,No,No,Sometimes,No,Never,Yes,Yes,> 3 Hours,1,1,3,2,2,2,2,4,5,5,5,7,4,3,5,4,1
"Yes, I agree to participate,",CU,"B.A (Hon's), M.A in History ",Graduate student,Male,21-25,Yes,Yes,3.01-3.50,Yes,No,Yes,Sometimes,Yes,Rarely,No,No,1-3 Hours,0,0,0,1,0,1,0,3,5,3,5,7,5,6,5,4,2
"Yes, I agree to participate,",Bangladesh Agricultural University ,Fisheries ,Senior (Undergrad),Female,21-25,Yes,No,> 3.50,No,No,No,Never occurs,Yes,Most of the time,Yes,Yes,1-3 Hours,2,1,2,2,3,2,2,6,2,7,2,7,3,5,5,6,7
"Yes, I agree to participate,",East Delta University ,BSc in CSE,Senior (Undergrad),Male,21-25,No,Yes,< 3.00,Yes,Yes,No,Sometimes,No,Never,Yes,Yes,> 3 Hours,0,3,2,3,3,3,3,6,4,6,5,7,3,7,5,5,2
"Yes, I agree to participate,",Bangladesh Agricultural University ,Fisheries ,Junior (Undergrad),Female,21-25,Yes,Yes,< 3.00,No,No,No,Sometimes,Yes,Rarely,No,No,> 3 Hours,1,1,1,1,2,2,0,2,7,2,7,1,1,1,5,1,7
"Yes, I agree to participate,",University of Chittagong ,Law,Junior (Undergrad),Female,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,Yes,Most of the time,Yes,No,< 1 Hours,3,3,3,3,3,3,3,2,3,5,4,4,2,6,5,1,7
"Yes, I agree to participate,",Chittagong University ,Law,Freshman (Undergrad),Female,> 25,No,No,3.01-3.50,No,No,Yes,Never occurs,Yes,Never,Yes,Yes,1-3 Hours,2,3,3,3,2,2,2,1,6,3,4,7,2,6,5,1,5
"Yes, I agree to participate,",University of Dhaka ,BBA,Junior (Undergrad),Female,21-25,Yes,No,> 3.50,No,Yes,No,Never occurs,Yes,Never,No,Maybe,1-3 Hours,1,2,0,1,1,1,2,2,6,5,7,6,5,7,5,7,1
"Yes, I agree to participate,",UNIVERSITY OF CHITTAGONG ,L.L.B,Freshman (Undergrad),Male,21-25,Yes,No,> 3.50,No,Yes,No,Sometimes,Yes,Rarely,Yes,Yes,> 3 Hours,2,3,2,3,2,2,3,2,6,7,2,6,5,3,5,1,7
"Yes, I agree to participate,",Chittagong University ,LL.B.,Senior (Undergrad),Female,21-25,Yes,No,> 3.50,No,No,No,Sometimes,No,Never,Yes,No,> 3 Hours,3,1,2,2,2,3,3,2,4,7,5,7,5,3,5,5,5
"Yes, I agree to participate,",International Islamic University Chittagong,ELL,Graduate student,Male,21-25,No,Yes,> 3.50,No,No,No,Sometimes,Yes,Never,No,No,1-3 Hours,2,1,3,3,1,1,3,7,5,7,5,3,1,7,5,4,5
"Yes, I agree to participate,","Abdul Malek Ukil Medical College,Noakhali",MBBS,Junior (Undergrad),Female,21-25,Yes,No,3.01-3.50,No,Yes,No,Sometimes,Yes,Never,No,No,> 3 Hours,1,3,3,3,3,1,3,5,5,0,5,3,6,6,5,2,1
"Yes, I agree to participate,",Port City International University,B.sc in EEE,Senior (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,Yes,Never occurs,Yes,Never,Yes,Maybe,1-3 Hours,2,0,0,2,1,3,3,2,6,7,1,7,5,5,5,1,4
"Yes, I agree to participate,",Abdul malek ukil medical college,Medicine ,Senior (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,No,No,Yes,Never occurs,No,Rarely,No,Yes,> 3 Hours,1,3,3,3,1,3,3,5,6,7,6,6,1,7,5,1,3
"Yes, I agree to participate,",হাজী সোনামিয়া ডিগ্রী কলেজ,Pornograpy and Culture ,Freshman (Undergrad),Male,21-25,No,Yes,> 3.50,Yes,No,Yes,Most of the time,Yes,Most of the time,Yes,No,> 3 Hours,0,0,0,0,0,0,0,4,4,6,5,5,5,7,5,7,2
"Yes, I agree to participate,",Dhaka University ,BA honours ,Freshman (Undergrad),Male,21-25,No,Yes,3.01-3.50,No,No,No,Never occurs,No,Never,Yes,No,1-3 Hours,0,0,2,0,0,0,0,3,5,5,1,7,5,5,5,4,3
"Yes, I agree to participate,",Dhaka University ,B.A Honours,Junior (Undergrad),Female,21-25,No,No,< 3.00,No,Yes,No,Never occurs,No,Never,Yes,Yes,< 1 Hours,2,1,2,3,3,3,3,5,5,5,5,7,4,6,5,6,2
"Yes, I agree to participate,",National University ,MSS,Graduate student,Male,21-25,Yes,No,< 3.00,Yes,No,No,Sometimes,Yes,Never,No,No,> 3 Hours,1,0,2,2,1,2,0,2,5,6,2,0,4,2,5,3,3
"Yes, I agree to participate,",Kapasgola city corporation mohila college,Management ,Graduate student,Female,21-25,Yes,No,3.01-3.50,No,Yes,No,Sometimes,No,Rarely,No,No,1-3 Hours,0,0,2,2,2,2,2,5,4,3,2,7,2,5,5,2,1
"Yes, I agree to participate,",University of Dhaka,English,Graduate student,Female,21-25,Yes,No,3.01-3.50,No,No,No,Never occurs,No,Rarely,No,No,> 3 Hours,3,2,2,3,3,3,3,4,5,5,5,7,4,3,5,4,1
"Yes, I agree to participate,",Port city international University ,BBA ,Senior (Undergrad),Male,21-25,Yes,Yes,3.01-3.50,No,Yes,No,Never occurs,Yes,Never,Yes,No,> 3 Hours,0,2,3,3,0,3,1,3,5,3,5,7,5,6,5,4,2
"Yes, I agree to participate,",abdul malek ukil medical college,mbbs,Graduate student,Female,21-25,Yes,Yes,< 3.00,No,No,No,Sometimes,Yes,Rarely,Yes,Yes,> 3 Hours,0,1,0,1,0,1,1,6,2,7,2,7,3,5,5,6,7
"Yes, I agree to participate,",East Delta university ,EEE,Senior (Undergrad),Female,21-25,Yes,No,< 3.00,No,Yes,No,Sometimes,Yes,Rarely,Yes,Yes,> 3 Hours,2,1,1,2,2,3,2,6,4,6,5,7,3,7,5,5,2
"Yes, I agree to participate,",Port City International University ,B.A. in English ,Graduate student,Female,< 20,No,Yes,3.01-3.50,No,No,No,Sometimes,No,Never,No,No,1-3 Hours,1,0,0,1,0,0,0,3,4,1,7,5,5,3,5,1,6
"Yes, I agree to participate,",Amumc,Mbbs,Senior (Undergrad),Female,21-25,No,No,3.01-3.50,No,No,No,Sometimes,Yes,Never,Yes,No,> 3 Hours,3,3,3,3,3,3,3,0,0,5,0,0,0,4,5,6,0
"Yes, I agree to participate,",BGC Trust University Bangladesh ,CSE ,Senior (Undergrad),Female,21-25,Yes,Yes,> 3.50,No,No,No,Never occurs,Yes,Most of the time,Yes,No,> 3 Hours,0,3,0,0,0,3,0,7,0,7,5,7,0,7,5,7,0
"Yes, I agree to participate,",Port City International University ,MA in English ,Graduate student,Female,21-25,No,No,< 3.00,No,No,No,Sometimes,Yes,Most of the time,Yes,Yes,> 3 Hours,3,3,3,3,3,3,3,7,0,7,7,0,7,7,5,0,6
"Yes, I agree to participate,",Port City International University ,B.A. in English ,Graduate student,Male,> 25,Yes,No,3.01-3.50,No,No,Yes,Never occurs,Yes,Rarely,No,No,> 3 Hours,2,1,2,3,2,3,2,2,2,3,4,3,2,3,5,2,2
"Yes, I agree to participate,",Bandarban gov.College ,Bss honors 2nd year(Economics) ,Graduate student,Male,< 20,No,No,3.01-3.50,No,No,No,Never occurs,Yes,Never,No,No,> 3 Hours,0,0,0,1,0,0,1,6,1,6,1,6,5,7,5,7,1
"Yes, I agree to participate,",Southeast University ,M.A in English ,Senior (Undergrad),Female,> 25,Yes,No,3.01-3.50,No,No,Yes,Sometimes,Yes,Rarely,No,No,> 3 Hours,1,3,3,2,2,2,3,6,0,4,0,6,6,5,5,5,4
"Yes, I agree to participate,",Govt.Hazi Mohammad Mohsin College ,B.Sc honours at Department of Physics ,Sophomore (Undergrad),Female,< 20,Yes,No,< 3.00,No,No,No,Sometimes,No,Rarely,Yes,Yes,> 3 Hours,1,1,2,2,2,1,3,7,0,3,1,7,1,7,5,7,0
"Yes, I agree to participate,", CU,history,Graduate student,Male,21-25,Yes,Yes,< 3.00,No,No,No,Sometimes,Yes,Never,No,No,1-3 Hours,3,1,2,3,3,3,3,6,1,4,1,6,4,6,5,5,6
"Yes, I agree to participate,",Abdul malek ukil medical College ,Mbbs,Junior (Undergrad),Female,21-25,No,No,3.01-3.50,No,Yes,No,Sometimes,Yes,Never,Yes,No,> 3 Hours,0,1,3,2,2,1,3,6,6,6,7,7,7,7,5,0,0
"Yes, I agree to participate,",East Delta University ,CSE,Senior (Undergrad),Female,21-25,No,Yes,3.01-3.50,No,No,No,Sometimes,No,Never,Yes,Yes,> 3 Hours,3,3,3,3,3,3,3,7,1,6,1,6,6,5,5,6,6
"Yes, I agree to participate,",University of Chittagong,Honours,Graduate student,Female,21-25,No,No,> 3.50,No,Yes,No,Never occurs,No,Never,No,No,> 3 Hours,1,2,1,2,1,3,3,1,5,4,7,7,7,7,5,1,1
"Yes, I agree to participate,",East Delta university ,CSE,Senior (Undergrad),Male,21-25,No,No,3.01-3.50,No,No,No,Never occurs,Yes,Never,Yes,Yes,> 3 Hours,2,1,2,3,3,3,1,6,5,2,7,5,4,7,5,1,5
"Yes, I agree to participate,","Shamsun Nahar khan Nursing college,  Chattogram ",Bachelor of science  in Nursing ,Freshman (Undergrad),Female,21-25,Yes,Yes,> 3.50,No,No,No,Sometimes,Yes,Rarely,Yes,No,> 3 Hours,3,3,3,3,3,2,3,2,5,7,2,5,6,5,5,3,2
"Yes, I agree to participate,",University of Chittagong,History,Graduate student,Female,21-25,No,No,> 3.50,No,No,No,Sometimes,Yes,Often,Yes,Yes,< 1 Hours,3,3,2,3,3,3,3,1,1,3,4,6,4,6,5,6,1
"Yes, I agree to participate,",East Delta University,CSE,Senior (Undergrad),Male,> 25,Yes,No,< 3.00,No,No,No,Sometimes,No,Never,Yes,No,< 1 Hours,1,0,0,1,1,2,0,2,5,6,6,5,5,5,5,3,3
"Yes, I agree to participate,",Progoti Nursing college ,Bsc. In Nursing ,Freshman (Undergrad),Male,> 25,Yes,Yes,3.01-3.50,No,No,Yes,Sometimes,No,Never,No,No,> 3 Hours,2,3,2,2,2,2,1,2,1,6,1,7,7,7,5,6,7
"Yes, I agree to participate,",Red crisent ,Diploma in nursing science and midwifery ,Freshman (Undergrad),Female,21-25,No,No,3.01-3.50,No,Yes,No,Sometimes,Yes,Most of the time,No,No,1-3 Hours,0,0,0,0,0,0,0,2,5,6,5,3,2,6,5,5,5
"Yes, I agree to participate,","Islamic University, Kushtia ",LLB,Junior (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,Yes,No,Never occurs,Yes,Rarely,No,No,> 3 Hours,2,0,3,2,1,2,3,7,6,4,5,3,2,6,5,5,2
"Yes, I agree to participate,",Mohsin College ,Accounting ,Senior (Undergrad),Male,21-25,Yes,Yes,< 3.00,No,No,No,Never occurs,Yes,Rarely,Yes,Yes,> 3 Hours,1,2,0,0,1,2,0,1,4,5,7,5,2,1,5,1,4
"Yes, I agree to participate,",Portcity international university ,EEE,Senior (Undergrad),Male,21-25,Yes,Yes,3.01-3.50,No,No,Yes,Sometimes,No,Never,No,No,> 3 Hours,3,3,3,3,3,3,1,1,7,5,7,5,7,4,5,1,7
"Yes, I agree to participate,",Govt Hazy muhammad Mohsin College,Physics department,Freshman (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,No,No,No,Most of the time,Yes,Never,No,No,> 3 Hours,1,2,0,2,1,2,3,5,3,6,6,3,7,5,5,5,7
"Yes, I agree to participate,",University of Dhaka ,English ,Freshman (Undergrad),Female,21-25,Yes,Yes,> 3.50,No,No,Yes,Sometimes,Yes,Rarely,No,Yes,< 1 Hours,1,2,2,2,2,1,1,6,5,6,6,6,4,7,5,3,3
"Yes, I agree to participate,",Govt. Hazi Muhammad Mohsin College ,Physics department ,Freshman (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,No,No,No,Sometimes,Yes,Never,No,Maybe,> 3 Hours,0,2,2,1,1,3,1,7,0,3,1,7,1,7,5,7,0
"Yes, I agree to participate,",East Delta University ,Cse,Senior (Undergrad),Male,21-25,Yes,Yes,> 3.50,No,No,No,Never occurs,Yes,Never,No,No,< 1 Hours,3,0,3,3,3,0,3,6,1,4,1,6,4,6,5,5,6
"Yes, I agree to participate,",pciu,EEE,Senior (Undergrad),Male,21-25,Yes,Yes,> 3.50,No,No,No,Sometimes,Yes,Never,Yes,No,> 3 Hours,1,1,2,0,1,2,1,6,6,6,7,7,7,7,5,0,0
"Yes, I agree to participate,",Port city international University ,EEE,Senior (Undergrad),Male,> 25,Yes,Yes,> 3.50,No,Yes,No,Never occurs,Yes,Often,No,No,> 3 Hours,1,1,2,1,1,1,2,7,1,6,1,6,6,5,5,6,6
"Yes, I agree to participate,",Portcity International University ,EEE,Senior (Undergrad),Male,21-25,Yes,No,< 3.00,No,No,Yes,Never occurs,Yes,Rarely,Yes,No,> 3 Hours,1,1,1,3,1,2,1,1,5,4,7,7,7,7,5,1,1
"Yes, I agree to participate,","Institute of Forestry and Environmental Sciences, Chittagong University ",Forestry ,Senior (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,No,No,No,Sometimes,No,Never,No,No,1-3 Hours,1,3,2,2,1,2,1,6,5,2,7,5,4,7,5,1,5
"Yes, I agree to participate,",Govt. Hazi Mohammed Mohsin College,Botany,Senior (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,No,Never occurs,No,Rarely,Yes,Yes,> 3 Hours,1,1,1,2,1,2,2,2,5,7,2,5,6,5,5,3,2
"Yes, I agree to participate,",University of Chittagong ,History ,Graduate student,Male,21-25,No,No,> 3.50,No,No,No,Never occurs,Yes,Never,No,No,1-3 Hours,3,3,3,0,1,2,2,4,3,2,1,0,1,2,5,4,5
"Yes, I agree to participate,",BRAC University,CSE,Graduate student,Male,21-25,Yes,No,< 3.00,No,Yes,Yes,Sometimes,No,Never,Yes,No,< 1 Hours,0,2,3,0,0,0,1,3,2,1,0,1,2,3,5,5,6
"Yes, I agree to participate,",Port city international university,B.A in English,Graduate student,Female,21-25,Yes,Yes,3.01-3.50,No,No,No,Sometimes,Yes,Rarely,No,Yes,> 3 Hours,3,3,0,3,3,2,0,5,6,6,7,4,7,4,5,3,7
"Yes, I agree to participate,",EDU,EEE,Junior (Undergrad),Female,21-25,Yes,Yes,< 3.00,No,No,No,Never occurs,No,Never,Yes,Yes,1-3 Hours,3,1,1,3,3,1,3,6,5,7,6,5,3,6,5,3,3
"Yes, I agree to participate,",Portcity international  University,EEE,Senior (Undergrad),Male,21-25,Yes,Yes,> 3.50,No,Yes,No,Sometimes,No,Never,No,No,> 3 Hours,3,3,0,3,3,3,3,0,0,1,1,0,2,2,5,2,0
"Yes, I agree to participate,",Port city international University ,EEE,Senior (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,No,Rarely,No,No,> 3 Hours,3,3,3,2,3,0,3,5,0,6,0,7,7,7,5,7,3
