I Agree to participate in the research project under the conditions described above,"The name of your institution
","The name of your program of study
",Your current class level is,Your gender,Your current age,Living with family?,Are you happy with your academic  Condition?,Your CGPA ,Are you addicted to any drugs?,Are you in a relationship?,  Did you have a recent breakup?  ,  How often do you conflict with your friend?  ,  Do you have financial problem in your family? ,  Violence in family?  ,  Have you ever been bullied  ,   Have you ever been sexually harassed or abused?  ,How many hours do you spend on social media?  ,"1. I found it hard to wind down
??? ??????? ?? ???????????? ????? ?? ????????? ???????? ???? ??? ???? ???? ???? ???","2. I tended to over-react to situations 
???? ????? ??????? ??????????? ???????? ???????????? ???? ??????? ???","3 .I felt that I was using a lot of nervous energy 
???? ??? ??? ?? ??? ??? ???? ??????? ???? ?????","4.  I found myself getting agitated 
??? ????? ????? ?? ??? ??? ?????? ???? ??????? ","5.  I found it difficult to relax 
???? ??? ??? ???? ???? ???? ??","6.  I was intolerant of anything that kept me from getting on with what I was doing 
???? ???? ???? ??? ??? ?? ??? ?????? ???? ???? ????? ????","7.  I felt that I was rather touchy 
??? ????? ????? ??? ??????? ??? ?????? ???","1. _____ Extraverted, enthusiastic.","2. _____ Critical, quarrelsome.","3. _____ Dependable, self-disciplined.","4. _____ Anxious, easily upset.","5. _____ Open to new experiences, complex.","6. _____ Reserved, quiet.","7. _____ Sympathetic, warm.","8. _____ Disorganized, careless.","9. _____ Calm, emotionally stable","10. _____ Conventional, uncreative."
"Yes, I agree to participate,",East delta University ,Graduated,Graduate student,Male,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,No,Rarely,Yes,No,1-3 Hours,1,1,2,1,1,1,1,1,0,3,3,3,2,5,5,6,3
"Yes, I agree to participate,",East Delta University,BBA,Senior (Undergrad),Male,> 25,Yes,No,< 3.00,No,No,No,Never occurs,Yes,Never,No,No,1-3 Hours,0,0,2,1,1,2,0,6,5,5,0,7,4,6,4,7,5
"Yes, I agree to participate,",Bangladesh University of Business and Technology ,EEE,Senior (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,No,Yes,Yes,Never occurs,No,Never,Yes,No,> 3 Hours,3,3,3,3,0,1,2,3,4,1,7,5,5,3,7,1,6
"Yes, I agree to participate,",Brac University ,EEE,Senior (Undergrad),Male,21-25,No,Yes,> 3.50,No,No,No,Sometimes,No,Never,No,No,1-3 Hours,0,1,1,0,0,0,0,0,0,5,0,0,0,4,6,6,0
"Yes, I agree to participate,",USTC medical college ,MBBS,Graduate student,Male,> 25,Yes,Yes,> 3.50,No,Yes,No,Sometimes,No,Rarely,No,No,> 3 Hours,1,0,1,1,1,1,1,7,0,7,5,7,0,7,1,7,0
"Yes, I agree to participate,",Narsingdi govt. College,Hons.,Graduate student,Prefer not to say,21-25,Yes,No,3.01-3.50,No,Yes,No,Never occurs,Yes,Never,Yes,Yes,> 3 Hours,3,3,3,3,2,3,3,7,0,7,7,0,7,7,0,0,6
"Yes, I agree to participate,",National University ,Honors,Senior (Undergrad),Male,21-25,Yes,Yes,3.01-3.50,No,No,No,Most of the time,No,Never,Yes,No,> 3 Hours,0,1,0,0,1,2,2,2,2,3,4,3,2,3,4,2,2
"Yes, I agree to participate,",International Islamic University Chittagong,Computer and Communication Engineering,Senior (Undergrad),Male,21-25,Yes,No,> 3.50,No,No,No,Never occurs,No,Never,Yes,Maybe,1-3 Hours,0,1,0,1,0,1,0,6,1,6,1,6,5,7,1,7,1
"Yes, I agree to participate,",East Delta University,CSE,Senior (Undergrad),Male,> 25,Yes,No,< 3.00,No,No,No,Never occurs,No,Never,Yes,No,> 3 Hours,0,0,0,0,0,0,0,6,0,4,0,6,6,5,5,5,4
"Yes, I agree to participate,",East Delta,EEE,Senior (Undergrad),Male,21-25,Yes,Yes,3.01-3.50,Yes,Yes,No,Sometimes,No,Never,No,No,> 3 Hours,0,0,0,0,1,1,1,7,0,3,1,7,1,7,2,7,0
"Yes, I agree to participate,",Premier University Chittagong,BSc in CSE,Senior (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,No,Never occurs,No,Rarely,No,No,> 3 Hours,2,0,1,2,2,2,1,6,1,4,1,6,4,6,5,5,6
"Yes, I agree to participate,",University of Chittagong ,BBA,Senior (Undergrad),Female,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,Yes,Never,No,Yes,> 3 Hours,1,3,3,2,2,3,3,6,6,6,7,7,7,7,7,0,0
"Yes, I agree to participate,",East Delta University ,EEE,Senior (Undergrad),Male,21-25,Yes,No,< 3.00,No,No,No,Sometimes,Yes,Often,Yes,No,> 3 Hours,1,3,1,3,1,2,0,7,1,6,1,6,6,5,1,6,6
"Yes, I agree to participate,",East Delta University,EEE,Graduate student,Male,21-25,Yes,Yes,3.01-3.50,No,Yes,No,Never occurs,No,Never,Yes,No,> 3 Hours,0,3,0,1,1,1,0,0,0,0,0,7,6,6,0,6,0
"Yes, I agree to participate,",East Delta University ,CSE,Graduate student,Male,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,Yes,Rarely,Yes,No,> 3 Hours,1,3,3,3,3,2,3,2,6,3,4,5,3,3,3,6,3
"Yes, I agree to participate,",East Delta University ,CSE,Graduate student,Male,21-25,Yes,Yes,< 3.00,No,No,No,Sometimes,Yes,Rarely,No,No,1-3 Hours,0,0,0,0,0,0,0,7,1,1,1,7,7,7,1,7,7
"Yes, I agree to participate,",East Delta university,CSE,Senior (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,No,Never occurs,No,Never,No,Maybe,> 3 Hours,0,1,1,1,0,0,2,3,2,5,3,3,6,2,6,4,4
"Yes, I agree to participate,",Premier University Chittagong,LLB ,Senior (Undergrad),Female,21-25,Yes,No,3.01-3.50,No,No,No,Never occurs,No,Never,No,No,> 3 Hours,1,1,2,3,3,2,2,2,2,4,6,4,7,6,4,4,5
"Yes, I agree to participate,",Stamford University Bangladesh ,Department of Civil Engineering ,Senior (Undergrad),Male,21-25,No,No,3.01-3.50,Yes,No,No,Never occurs,No,Most of the time,No,No,> 3 Hours,1,2,1,3,2,3,3,5,5,4,4,5,4,5,6,6,5
"Yes, I agree to participate,",East Delta University ,BSC in CSE,Senior (Undergrad),Female,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,Yes,Never,Yes,No,> 3 Hours,1,2,2,3,2,2,1,5,5,5,5,6,6,6,7,6,5
"Yes, I agree to participate,",Rangpur Medical College,MBBS,Graduate student,Male,> 25,Yes,Yes,3.01-3.50,No,Yes,No,Sometimes,No,Rarely,Yes,No,> 3 Hours,2,3,3,3,3,3,3,4,6,6,7,5,7,6,7,2,1
"Yes, I agree to participate,",KUET,Mechanical Engineering,Sophomore (Undergrad),Male,21-25,No,No,< 3.00,No,Yes,No,Sometimes,No,Rarely,Yes,No,> 3 Hours,2,3,1,3,3,2,2,2,5,2,6,5,5,4,6,0,6
"Yes, I agree to participate,",National University ,Statistics ,Senior (Undergrad),Male,21-25,Yes,No,< 3.00,No,No,Yes,Sometimes,Yes,Never,No,No,> 3 Hours,0,3,1,1,0,3,3,5,7,7,7,7,1,7,3,7,0
"Yes, I agree to participate,",National University ,BSc,Senior (Undergrad),Female,21-25,Yes,No,3.01-3.50,No,Yes,Yes,Sometimes,Yes,Most of the time,Yes,Yes,> 3 Hours,3,0,3,3,3,3,0,6,6,7,0,7,7,7,0,6,0
"Yes, I agree to participate,",Siddheswari College ,BBA (Hon's) Department of Marketing ,Junior (Undergrad),Female,21-25,Yes,No,< 3.00,No,Yes,No,Never occurs,No,Often,Yes,No,> 3 Hours,3,1,0,3,3,3,3,7,1,3,7,7,7,4,5,3,2
"Yes, I agree to participate,",East Delta University ,EEE,Senior (Undergrad),Male,21-25,Yes,No,< 3.00,No,Yes,No,Sometimes,No,Never,No,No,> 3 Hours,0,1,0,1,1,1,2,5,5,5,7,5,1,5,1,5,1
"Yes, I agree to participate,",EDU,EEE,Senior (Undergrad),Male,21-25,Yes,No,3.01-3.50,Yes,Yes,No,Never occurs,Yes,Rarely,Yes,No,1-3 Hours,1,0,1,0,1,1,0,4,0,0,0,4,0,7,5,5,5
"Yes, I agree to participate,",Daffodil university ,Architectural visualisation ,Freshman (Undergrad),Male,> 25,Yes,No,< 3.00,Yes,No,Yes,Never occurs,Yes,Often,Yes,Yes,< 1 Hours,2,1,1,3,3,3,3,6,4,6,5,7,5,7,5,6,0
"Yes, I agree to participate,",Nanjing University of Aeronautics and Astronautics,Mechanical Engineering,Senior (Undergrad),Male,21-25,Yes,Yes,> 3.50,No,No,No,Never occurs,No,Never,No,No,> 3 Hours,2,2,2,2,2,2,2,3,3,3,3,4,3,4,3,3,3
"Yes, I agree to participate,",National University  ,Bsc,Senior (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,No,Rarely,Yes,No,> 3 Hours,3,3,2,1,3,3,3,3,2,7,7,6,6,6,1,2,4
"Yes, I agree to participate,",East Delta University,EEE,Senior (Undergrad),Male,21-25,Yes,Yes,< 3.00,No,No,No,Sometimes,Yes,Rarely,Yes,No,1-3 Hours,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2
"Yes, I agree to participate,",National university ,Bachelor of Social Science,Graduate student,Female,21-25,Yes,No,< 3.00,No,No,No,Sometimes,No,Most of the time,Yes,Yes,> 3 Hours,3,3,3,3,3,3,3,0,7,7,7,7,7,7,4,4,0
"Yes, I agree to participate,",Institute of Science & Technology (IST),Bachelors of Business Administration,Graduate student,Male,> 25,Yes,No,3.01-3.50,No,No,No,Sometimes,Yes,Rarely,Yes,Yes,1-3 Hours,1,0,1,1,0,2,0,1,1,4,2,5,1,4,2,5,2
"Yes, I agree to participate,",University of Dhaka,Drawing and Painting,Senior (Undergrad),Male,> 25,Yes,No,< 3.00,No,No,Yes,Sometimes,No,Often,No,No,> 3 Hours,0,3,2,2,1,1,0,1,5,5,2,7,6,7,4,4,0
"Yes, I agree to participate,",Chittagong BGMEA Institute of Fashion & Technology ,B.sc ,Senior (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,No,No,Yes,Sometimes,No,Rarely,Yes,Maybe,1-3 Hours,2,3,3,3,2,3,3,4,4,6,6,5,6,6,3,3,2
"Yes, I agree to participate,",East Delta University ,CSE,Sophomore (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,No,Rarely,No,No,> 3 Hours,2,1,1,3,3,3,3,4,6,5,7,7,7,7,7,7,7
"Yes, I agree to participate,",SEC,EEE,Senior (Undergrad),Male,21-25,No,Yes,> 3.50,No,No,No,Sometimes,Yes,Never,Yes,No,> 3 Hours,1,0,3,2,1,1,0,4,0,5,3,4,5,6,4,5,3
"Yes, I agree to participate,",Bangladesh University of Engineering and Technology,MSc in Physics,Graduate student,Male,21-25,No,No,3.01-3.50,No,Yes,No,Never occurs,Yes,Never,Yes,Yes,> 3 Hours,1,2,1,2,1,2,0,4,1,4,2,7,5,6,4,4,1
"Yes, I agree to participate,",East Delta University ,CSE,Senior (Undergrad),Female,21-25,Yes,No,> 3.50,No,No,No,Never occurs,Yes,Often,Yes,No,> 3 Hours,3,2,3,3,3,2,1,7,2,6,7,4,4,4,2,1,4
"Yes, I agree to participate,",East Delta University ,CSE ,Graduate student,Female,> 25,Yes,No,3.01-3.50,No,No,No,Sometimes,No,Rarely,Yes,Yes,1-3 Hours,2,1,1,3,0,1,3,6,5,7,5,7,5,1,1,7,2
"Yes, I agree to participate,",Institue of Photography,Visual Art,Sophomore (Undergrad),Male,21-25,Yes,Yes,3.01-3.50,No,No,No,Never occurs,Yes,Rarely,No,No,1-3 Hours,1,0,1,0,0,0,0,2,2,1,2,3,2,5,2,3,2
"Yes, I agree to participate,",East Delta University ,CSE,Senior (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,Yes,Rarely,Yes,No,> 3 Hours,1,0,3,3,1,3,2,6,2,5,4,7,3,3,5,4,4
"Yes, I agree to participate,",Edu,Cse,Senior (Undergrad),Female,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,No,Never,No,No,1-3 Hours,3,3,3,3,3,3,3,6,4,7,7,7,7,7,4,7,4
"Yes, I agree to participate,","Institute of Business Administration, University of Dhaka",BBA,Junior (Undergrad),Male,21-25,Yes,Yes,> 3.50,Yes,No,No,Never occurs,Yes,Never,Yes,No,> 3 Hours,1,2,2,1,1,1,0,4,1,5,1,6,4,6,5,5,2
"Yes, I agree to participate,",University of Dhaka,B.A Honors ,Sophomore (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,No,Yes,No,Never occurs,No,Rarely,No,Maybe,> 3 Hours,1,1,3,1,1,2,3,2,1,7,7,4,7,6,5,4,3
"Yes, I agree to participate,",Chittagong Independent University   ,English language and Literature   ,Senior (Undergrad),Male,> 25,Yes,No,< 3.00,No,No,No,Never occurs,No,Never,Yes,No,> 3 Hours,0,0,0,0,0,0,1,6,1,7,5,6,1,5,1,6,5
"Yes, I agree to participate,",IUBAT-International University of Business Agriculture and Technology ,BBA,Senior (Undergrad),Female,21-25,Yes,Yes,> 3.50,No,Yes,No,Sometimes,No,Often,Yes,No,1-3 Hours,1,0,0,0,0,0,1,4,2,3,3,1,4,3,2,5,1
"Yes, I agree to participate,",University of Science & Technology Chittagong ,ELL,Graduate student,Male,> 25,Yes,Yes,> 3.50,No,No,Yes,Sometimes,No,Never,No,No,> 3 Hours,3,2,3,2,1,3,1,7,1,4,2,6,7,7,1,7,1
"Yes, I agree to participate,",Daffodil International University ,CSE,Senior (Undergrad),Male,21-25,No,No,3.01-3.50,No,No,Yes,Never occurs,No,Never,Yes,No,> 3 Hours,3,3,3,3,3,3,3,5,4,3,6,6,1,6,4,3,6
"Yes, I agree to participate,",BRACU,CSE,Graduate student,Female,21-25,Yes,Yes,> 3.50,No,No,No,Sometimes,No,Never,No,Maybe,> 3 Hours,2,1,3,2,3,2,2,4,2,6,3,7,3,6,2,4,3
"Yes, I agree to participate,",East Delta University ,B.Sc. in CSE,Senior (Undergrad),Male,21-25,Yes,No,> 3.50,No,No,No,Sometimes,No,Rarely,Yes,Yes,1-3 Hours,2,3,2,3,3,2,2,4,3,5,4,5,5,6,2,4,4
"Yes, I agree to participate,",abu dharr ghifari college,BBA honour's at managment,Senior (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,No,Rarely,Yes,No,1-3 Hours,2,0,1,3,3,3,3,1,1,3,6,4,7,6,6,6,1
"Yes, I agree to participate,",Chittagong Independent University ,LLM(HR),Graduate student,Female,21-25,Yes,Yes,> 3.50,No,Yes,No,Sometimes,Yes,Rarely,Yes,Yes,> 3 Hours,1,0,1,1,1,2,0,4,1,4,3,3,4,4,1,7,1
"Yes, I agree to participate,",Chittagong College,Chemistty,Graduate student,Male,> 25,Yes,Yes,< 3.00,No,Yes,No,Sometimes,Yes,Never,Yes,Yes,> 3 Hours,1,0,0,1,1,1,0,5,1,7,1,1,7,1,1,7,7
"Yes, I agree to participate,",Dhaka University,Finance,Graduate student,Male,> 25,Yes,No,> 3.50,No,Yes,No,Sometimes,Yes,Rarely,Yes,No,> 3 Hours,2,1,3,2,1,3,1,6,4,7,2,7,6,6,4,6,1
"Yes, I agree to participate,",AIUB,CSE,Senior (Undergrad),Male,21-25,No,Yes,> 3.50,No,No,No,Sometimes,No,Rarely,Yes,No,1-3 Hours,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5
"Yes, I agree to participate,",Not studying currently,Completed BSc,Graduate student,Female,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,Yes,Rarely,Yes,Yes,> 3 Hours,2,3,3,3,3,3,1,4,6,3,7,6,3,6,7,1,2
"Yes, I agree to participate,",IIUC,BBA,Senior (Undergrad),Male,21-25,Yes,No,3.01-3.50,Yes,Yes,Yes,Sometimes,No,Rarely,Yes,Yes,> 3 Hours,1,1,1,2,1,1,1,7,4,5,2,7,1,7,6,7,1
"Yes, I agree to participate,",Eastern University,English Language and Literature,Graduate student,Male,> 25,Yes,No,< 3.00,Yes,No,No,Most of the time,Yes,Most of the time,Yes,No,> 3 Hours,1,2,2,2,2,2,2,4,5,6,5,7,3,6,6,3,2
"Yes, I agree to participate,",DU,MS (geography & environment) ,Graduate student,Male,> 25,No,Yes,> 3.50,No,No,No,Never occurs,Yes,Never,No,No,> 3 Hours,1,0,0,0,0,0,0,6,1,6,1,6,5,5,2,6,2
"Yes, I agree to participate,",East west medical college,Mbbs,Graduate student,Female,21-25,Yes,No,3.01-3.50,No,Yes,No,Sometimes,Yes,Rarely,No,Yes,> 3 Hours,1,1,1,2,1,1,1,1,3,5,1,6,3,3,3,3,6
"Yes, I agree to participate,","Govt. B.L. University College, Khulna",BBA,Sophomore (Undergrad),Male,21-25,Yes,Yes,3.01-3.50,No,No,No,Never occurs,No,Never,No,No,1-3 Hours,0,0,2,0,0,2,0,6,1,7,1,7,7,7,1,7,2
"Yes, I agree to participate,","International Islamic University, Chittagong",CSE,Graduate student,Male,> 25,Yes,No,3.01-3.50,No,No,Yes,Sometimes,Yes,Rarely,Yes,No,< 1 Hours,1,2,1,0,1,1,3,6,5,1,5,3,5,6,1,2,1
"Yes, I agree to participate,",BUET,Civil,Graduate student,Male,> 25,No,No,< 3.00,No,Yes,No,Most of the time,Yes,Rarely,Yes,No,1-3 Hours,1,1,2,3,1,2,1,3,2,6,1,6,7,7,7,7,4
"Yes, I agree to participate,",BSMRSTU,Statistics ,Graduate student,Male,> 25,No,No,< 3.00,Yes,Yes,No,Sometimes,Yes,Never,Yes,No,> 3 Hours,1,1,1,2,1,2,0,4,2,4,5,7,4,7,6,3,2
"Yes, I agree to participate,",University of Dhaka ,Geography& environment ,Graduate student,Female,21-25,Yes,No,> 3.50,No,No,No,Never occurs,Yes,Rarely,Yes,No,1-3 Hours,2,1,0,0,0,1,1,6,2,6,2,2,1,6,1,6,1
"Yes, I agree to participate,",BUP,IR,Graduate student,Male,21-25,No,No,3.01-3.50,Yes,Yes,No,Sometimes,Yes,Often,Yes,No,> 3 Hours,2,3,3,3,3,3,3,5,5,4,4,7,5,4,5,2,1
"Yes, I agree to participate,",Netrokona Govt clg,Management ,Freshman (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,No,Never occurs,No,Rarely,No,No,> 3 Hours,1,0,0,1,0,2,0,1,1,7,3,7,2,5,6,7,1
"Yes, I agree to participate,","Govt.city college,chittagong",Honours ,Freshman (Undergrad),Male,21-25,Yes,Yes,< 3.00,No,No,Yes,Sometimes,Yes,Never,No,No,1-3 Hours,1,2,1,1,0,1,1,1,1,3,1,3,2,2,2,7,4
"Yes, I agree to participate,",Carmichael College Rangpur ,Philosophy ,Junior (Undergrad),Female,21-25,Yes,No,< 3.00,No,Yes,No,Sometimes,Yes,Most of the time,Yes,Yes,1-3 Hours,0,3,3,3,3,3,3,4,2,5,4,5,6,7,4,3,4
"Yes, I agree to participate,",University of Dhaka,Honors,Graduate student,Male,21-25,Yes,No,> 3.50,No,No,No,Sometimes,Yes,Often,Yes,Yes,> 3 Hours,2,2,2,2,1,2,3,1,3,2,6,4,7,6,4,2,6
"Yes, I agree to participate,",Comilla University ,Statistics ,Senior (Undergrad),Female,21-25,No,No,3.01-3.50,No,No,No,Sometimes,No,Rarely,Yes,Yes,> 3 Hours,1,2,3,3,2,2,3,4,1,5,5,4,5,5,2,5,1
"Yes, I agree to participate,",University of Chittagong ,BSc in Zoology,Senior (Undergrad),Male,21-25,No,No,3.01-3.50,No,No,No,Never occurs,Yes,Never,Yes,No,1-3 Hours,3,3,2,3,3,2,1,5,1,5,7,6,7,6,1,1,1
"Yes, I agree to participate,",Ahsanullah University of Science & Technology ,Electrical & Electronic Engineering ,Graduate student,Male,21-25,No,Yes,3.01-3.50,No,No,No,Sometimes,No,Rarely,No,No,> 3 Hours,1,0,1,0,1,3,0,5,1,7,2,6,6,7,4,6,4
"Yes, I agree to participate,",East Delta University ,CSE,Senior (Undergrad),Female,> 25,No,No,3.01-3.50,No,Yes,No,Sometimes,Yes,Never,Yes,No,1-3 Hours,1,2,3,3,3,3,0,4,5,7,3,7,6,6,7,7,5
"Yes, I agree to participate,",East Delta University ,Computer science and engineering,Senior (Undergrad),Female,21-25,Yes,No,> 3.50,No,No,No,Sometimes,Yes,Never,Yes,Yes,> 3 Hours,3,3,3,3,3,2,3,5,5,6,6,7,7,7,5,4,5
"Yes, I agree to participate,",Chittagong College ,Economics,Graduate student,Male,> 25,No,No,< 3.00,No,No,Yes,Sometimes,Yes,Often,Yes,No,> 3 Hours,2,3,3,3,2,3,3,5,4,4,7,6,7,5,5,7,7
"Yes, I agree to participate,",University Of Chittagong ,Law,Graduate student,Male,21-25,No,No,3.01-3.50,No,Yes,No,Never occurs,No,Never,No,No,> 3 Hours,0,1,3,1,3,1,3,4,1,5,5,5,4,6,3,3,5
"Yes, I agree to participate,",",Chittagong University",B.Sc(Honour's),Graduate student,Female,21-25,Yes,Yes,> 3.50,No,No,No,Sometimes,No,Never,Yes,Yes,1-3 Hours,0,3,0,2,3,3,2,7,2,7,2,4,1,6,1,4,4
"Yes, I agree to participate,",Dhaka University ,BBA,Graduate student,Male,21-25,Yes,Yes,< 3.00,No,No,No,Never occurs,Yes,Never,Yes,Yes,> 3 Hours,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5
"Yes, I agree to participate,",Edu,Cse,Senior (Undergrad),Male,21-25,Yes,No,< 3.00,Yes,Yes,No,Sometimes,Yes,Often,Yes,Yes,1-3 Hours,3,0,1,3,3,3,2,4,4,5,6,5,5,7,5,5,3
"Yes, I agree to participate,",University of Asia Pacific ,Department of English ,Senior (Undergrad),Female,21-25,No,Yes,3.01-3.50,No,No,No,Sometimes,Yes,Often,Yes,Yes,1-3 Hours,3,3,3,3,3,3,3,7,1,7,1,7,1,5,1,7,1
"Yes, I agree to participate,",East Delta University ,EEE,Senior (Undergrad),Male,> 25,Yes,Yes,3.01-3.50,No,Yes,No,Most of the time,Yes,Often,Yes,No,< 1 Hours,2,1,1,2,2,2,2,5,3,2,3,3,4,4,5,3,3
"Yes, I agree to participate,",East Delta University,BBA,Graduate student,Male,21-25,Yes,Yes,3.01-3.50,No,No,No,Sometimes,No,Never,No,Yes,1-3 Hours,1,1,1,1,2,2,2,6,3,5,4,6,5,5,5,5,4
"Yes, I agree to participate,",Mainamoti Medical.college,MBBS,Graduate student,Male,> 25,No,Yes,> 3.50,No,Yes,No,Never occurs,Yes,Often,Yes,No,1-3 Hours,1,1,2,1,1,3,3,7,1,7,5,6,7,7,4,7,1
"Yes, I agree to participate,",East Delta University ,electrical &electronics Engineering ,Senior (Undergrad),Male,> 25,Yes,Yes,> 3.50,No,No,No,Sometimes,No,Never,Yes,Yes,> 3 Hours,1,1,2,1,1,1,2,4,1,3,3,3,3,3,3,4,5
"Yes, I agree to participate,",BUET,CSE,Senior (Undergrad),Male,21-25,No,No,< 3.00,Yes,Yes,No,Sometimes,No,Rarely,Yes,Yes,1-3 Hours,0,3,2,2,1,2,1,6,6,4,2,4,4,6,3,2,1
"Yes, I agree to participate,",Buet,Cse,Senior (Undergrad),Female,21-25,No,Yes,3.01-3.50,No,No,No,Never occurs,No,Never,No,Yes,< 1 Hours,2,3,3,0,3,3,3,6,5,6,5,6,4,4,6,3,6
"Yes, I agree to participate,",Cuet,Civil Engineering ,Senior (Undergrad),Female,21-25,No,Yes,3.01-3.50,No,Yes,Yes,Sometimes,No,Rarely,Yes,Yes,> 3 Hours,3,3,3,3,3,2,3,3,6,7,7,2,4,7,6,1,3
"Yes, I agree to participate,",BUET,CSE,Sophomore (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,Yes,Rarely,Yes,No,> 3 Hours,1,0,1,1,1,2,1,5,3,6,2,6,4,6,2,7,4
"Yes, I agree to participate,",BUET,BSc in Computer Science and Engineering ,Sophomore (Undergrad),Male,21-25,Yes,No,> 3.50,No,No,Yes,Never occurs,No,Rarely,Yes,No,> 3 Hours,2,2,3,3,3,3,1,4,2,4,5,3,7,6,5,6,7
"Yes, I agree to participate,",BUET,CSE,Sophomore (Undergrad),Female,21-25,No,No,> 3.50,No,No,No,Sometimes,No,Never,No,Maybe,1-3 Hours,2,2,3,3,3,3,2,1,7,4,6,2,5,4,3,4,7
"Yes, I agree to participate,",BUET,CSE ,Senior (Undergrad),Male,21-25,Yes,Yes,> 3.50,No,Yes,No,Never occurs,No,Never,No,No,1-3 Hours,1,1,2,1,2,1,0,2,3,4,3,5,7,6,2,6,6
"Yes, I agree to participate,",BUET,BSc Engineering in Computer Science and Engineering ,Senior (Undergrad),Male,21-25,No,No,< 3.00,No,No,Yes,Sometimes,No,Often,Yes,No,> 3 Hours,1,3,2,3,2,2,3,5,6,6,6,6,3,6,3,5,5
"Yes, I agree to participate,",BUET,CSE Undergrad,Senior (Undergrad),Male,21-25,Yes,No,> 3.50,No,Yes,No,Sometimes,No,Rarely,No,No,> 3 Hours,2,2,2,2,2,2,2,4,2,5,5,5,6,6,3,2,2
"Yes, I agree to participate,",Bangladesh University of Engineering and Technology ,CSE,Junior (Undergrad),Male,21-25,Yes,No,> 3.50,No,No,No,Sometimes,No,Never,Yes,Maybe,< 1 Hours,0,1,2,1,1,1,1,3,2,3,5,4,6,6,3,5,5
"Yes, I agree to participate,",BUET ,CSE ,Graduate student,Male,> 25,No,No,> 3.50,No,No,No,Sometimes,Yes,Rarely,No,No,1-3 Hours,2,2,2,2,2,1,2,2,5,3,7,5,7,5,6,2,6
"Yes, I agree to participate,",Bangladesh University of Engineering and Technology ,Computer Science and Engineering,Sophomore (Undergrad),Male,21-25,Yes,No,> 3.50,No,Yes,No,Sometimes,Yes,Rarely,Yes,No,> 3 Hours,1,3,3,3,3,3,2,2,3,4,6,5,4,4,5,2,1
"Yes, I agree to participate,",Bangladesh University of Engineering and Technology ,CSE,Senior (Undergrad),Male,21-25,No,No,> 3.50,No,No,No,Never occurs,No,Never,Yes,Maybe,1-3 Hours,1,1,1,1,2,2,2,3,4,3,5,5,5,5,4,3,5
"Yes, I agree to participate,",CUET,CSE,Senior (Undergrad),Male,21-25,No,Yes,> 3.50,No,No,No,Sometimes,No,Never,Yes,No,1-3 Hours,2,2,2,2,2,2,2,6,1,4,2,5,1,5,1,6,2
"Yes, I agree to participate,",CUET,BSc in Civil Engineering,Senior (Undergrad),Male,21-25,Yes,Yes,3.01-3.50,No,Yes,No,Never occurs,No,Never,No,No,1-3 Hours,0,0,2,1,0,1,3,1,1,7,7,7,7,7,1,7,1
"Yes, I agree to participate,",CUET,Civil Engineering,Senior (Undergrad),Male,21-25,Yes,No,< 3.00,No,Yes,No,Never occurs,No,Never,No,No,1-3 Hours,2,2,1,3,3,2,3,4,5,7,7,6,6,5,6,5,5
"Yes, I agree to participate,",Bangladesh university of Engineering and Technology,Computer Science and Engineering,Senior (Undergrad),Male,21-25,No,No,3.01-3.50,No,No,No,Sometimes,No,Never,Yes,No,1-3 Hours,1,0,2,1,2,3,0,2,5,6,5,4,7,2,1,5,2
"Yes, I agree to participate,",East Delta University ,CSE,Senior (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,No,No,No,Sometimes,Yes,Rarely,No,No,1-3 Hours,3,0,1,0,1,2,3,2,2,2,5,3,3,6,5,5,5
"Yes, I agree to participate,",BUET ,Cs,Junior (Undergrad),Female,21-25,No,No,> 3.50,No,No,No,Sometimes,No,Never,Yes,No,> 3 Hours,1,1,2,2,2,2,2,4,1,4,6,5,4,5,5,3,5
"Yes, I agree to participate,",DU,Peace and Conflict ,Senior (Undergrad),Female,> 25,No,No,> 3.50,No,No,No,Sometimes,Yes,Often,Yes,Yes,< 1 Hours,2,3,2,2,1,2,2,6,1,1,6,4,5,7,7,7,4
